Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
FDS,2021-10-22,0.361828184130808,0.2979732074162354,0.0302731869414629,7.0,0,0,0,0,0,1,0,0,0,0,0,0
HAL,2021-10-22,0.0856599286563614,0.1087059140872614,0.0604000922851195,9.0,0,0,0,0,1,0,0,0,0,0,0,0
HLX,2021-10-22,0.014676016988036,-0.0102975599205129,0.2469301948183942,9.0,0,0,0,0,1,0,0,0,0,0,0,0
INTC,2021-10-22,0.2628808897250568,0.1763925424300756,0.0944801243232376,0.0,0,0,0,0,0,0,0,0,0,0,1,0
WDFC,2021-10-22,0.6130570916520806,0.2810339046317561,0.023504392195518,3.0,1,0,0,0,0,0,0,0,0,0,0,0
TPH,2021-10-22,0.2235331631899869,0.1497940739819304,0.1501975308021791,2.0,0,0,1,0,0,0,0,0,0,0,0,0
LVS,2021-10-22,0.0850593203297808,-0.0328931855694411,-0.0400936897216864,6.0,0,0,1,0,0,0,0,0,0,0,0,0
IQV,2021-10-22,0.1870344942370906,0.0686628520637742,0.048135525898407,4.0,0,0,0,0,0,0,1,0,0,0,0,0
BKR,2021-10-22,0.1077099407357709,0.0606302521008403,0.0864598364598364,8.0,0,0,0,0,1,0,0,0,0,0,0,0
JBL,2021-10-22,0.1416476522156839,0.2123629112662014,0.0723779667898223,8.0,0,0,0,0,0,0,0,0,0,0,1,0
DOW,2021-10-22,0.158091629014235,0.2181490384615384,0.1141015851403442,5.0,1,0,0,0,0,0,0,0,0,0,0,0
HCSG,2021-10-22,0.3208606822302839,0.1746316677252423,0.0503286952463736,3.0,0,0,0,0,0,0,0,1,0,0,0,0
OLN,2021-10-22,0.2151004889803182,0.2650161664665127,0.1293517791406966,6.0,1,0,0,0,0,0,0,0,0,0,0,0
DORM,2021-10-25,0.2740783786593788,0.1493781003983069,0.0205868103456432,3.0,0,0,1,0,0,0,0,0,0,0,0,0
NEE,2021-10-25,0.0873076895439161,0.021235772032738,-0.0032397840232722,6.0,0,0,0,0,0,0,0,0,0,0,0,1
